Year,Player,Pos,School,Height (month lmao),Wt (lbs),40YD (s),Vertical (in),BenchReps,Broad Jump (in),3Cone (s),Shuttle (s)
2016,Laquon Treadwell,WR,Mississippi,2-Jun,221,4.52,33,12,117,,
2016,Michael Thomas,WR,Ohio State,3-Jun,212,4.57,35,18,126,6.8,4.13
2016,Kelvin Taylor,RB,Florida,10-May,207,4.6,32,15,113,,
2016,Nate Sudfeld,QB,Indiana,6-Jun,234,5.02,29,,105,,
2016,Joel Stave,QB,Wisconsin,5-Jun,236,4.8,33.5,,115,7.29,4.33
2016,Nelson Spruce,WR,Colorado,1-Jun,206,4.69,35,12,114,7.09,4.2
2016,Wendell Smallwood,RB,West Virginia,10-May,208,4.47,33.5,14,120,6.83,4.28
2016,Sterling Shepard,WR,Oklahoma,10-May,194,4.48,41,20,123,7,4.35
2016,Tajae Sharpe,WR,Massachusetts,2-Jun,194,4.55,33.5,11,114,,
2016,Hunter Sharp,WR,Utah State,11-May,198,4.58,32.5,12,116,7.12,4.19
2016,Rashawn Scott,WR,Miami (FL),1-Jun,199,4.54,32.5,17,116,,
2016,Beau Sandland,TE,Montana St,4-Jun,253,4.74,35,23,124,7.1,4.33
2016,Alonzo Russell,WR,Toledo,4-Jun,206,4.54,29.5,12,112,7.18,4.33
2016,Demarcus Robinson,WR,Florida,1-Jun,203,4.59,34.5,,123,6.77,4.19
2016,C.J. Prosise,RB,Notre Dame,Jun-00,220,4.48,35.5,,121,,
2016,Dak Prescott,QB,Mississippi State,2-Jun,226,4.79,32.5,,116,7.11,4.32
2016,Paul Perkins,RB,UCLA,10-May,208,4.54,32,19,124,,
2016,Charone Peake,WR,Clemson,2-Jun,209,4.45,35.5,12,122,6.96,4.46
2016,Jordan Payton,WR,UCLA,1-Jun,207,4.47,34.5,,121,7.08,4.33
2016,Jaden Oberkrom,K,Texas Christian,2-Jun,186,4.96,,,,,
2016,David Morgan,TE,Texas-San Antonio,4-Jun,262,,,,,,
2016,Chris Moore,WR,Cincinnati,1-Jun,206,4.53,37,10,130,6.76,4.2
2016,Malcolm Mitchell,WR,Georgia,Jun-00,198,4.45,36,15,129,6.94,4.34
2016,Braxton Miller,WR,Ohio State,1-Jun,201,4.5,35,17,123,6.65,4.07
2016,Mekale McKay,WR,Cincinnati,4-Jun,207,4.55,35,12,123,7.08,4.63
2016,Jake McGee,TE,Florida,5-Jun,250,4.83,,17,,,
2016,Keith Marshall,RB,Georgia,11-May,219,4.31,30.5,25,,,
2016,Jalin Marshall,WR,Ohio State,10-May,200,4.6,37.5,16,125,6.8,4.13
2016,Byron Marshall,WR,Oregon,9-May,201,4.42,,17,,,
2016,Ryan Malleck,TE,Virginia Tech,4-Jun,247,4.77,34.5,18,121,7,4.33
2016,Tre Madden,RB,Southern California,Jun-00,223,4.53,,24,,,
2016,Paxton Lynch,QB,Memphis,7-Jun,244,4.86,36,,118,7.14,4.26
2016,Ricardo Louis,WR,Auburn,2-Jun,215,4.43,38,18,132,,
2016,Kolby Listenbee,WR,Texas Christian,Jun-00,197,4.39,35.5,15,129,,
2016,Kenny Lawler,WR,California,2-Jun,203,4.64,31,,111,7.13,4.2
2016,Daniel Lasco,RB,California,Jun-00,209,4.46,41.5,23,135,7.22,4.26
2016,Cody Kessler,QB,Southern California,1-Jun,220,4.89,29.5,,104,7.32,4
2016,Cayleb Jones,WR,Arizona,3-Jun,209,4.65,33.5,9,,6.99,4.14
2016,Cardale Jones,QB,Ohio State,5-Jun,253,4.81,36,,,,
2016,Devon Johnson,RB,Marshall,Jun-00,238,4.64,,,,,
2016,Andy Janovich,FB,Nebraska,1-Jun,238,4.81,34,30,119,7.28,4.32
2016,Jordan Howard,RB,Indiana,Jun-00,230,4.57,34,16,122,,
2016,Austin Hooper,TE,Stanford,4-Jun,254,4.72,33,19,117,7,4.32
2016,Kevin Hogan,QB,Stanford,3-Jun,218,4.78,32.5,,113,6.9,4.31
2016,Rashard Higgins,WR,Colorado State,1-Jun,196,4.64,32,13,116,,
2016,Tyler Higbee,TE,Western Kentucky,6-Jun,249,4.77,,,,,
2016,Quayvon Hicks,FB,Georgia,1-Jun,259,4.82,,,,,
2016,Hunter Henry,TE,Arkansas,5-Jun,250,4.79,,13,,,
2016,Derrick Henry,RB,Alabama,3-Jun,247,4.54,37,22,130,7.2,4.38
2016,Temarrick Hemingway,TE,South Carolina St,5-Jun,244,4.71,30.5,18,115,6.88,4.31
2016,Christian Hackenberg,QB,Penn State,4-Jun,223,4.78,31,,114,7.04,4.33
2016,Glenn Gronkowski,FB,Kansas State,2-Jun,239,4.71,33,17,120,7.1,4.45
2016,Jared Goff,QB,California,4-Jun,215,4.82,27,,110,7.17,4.47
2016,Keyarris Garrett,WR,Tulsa,3-Jun,220,4.53,36.5,14,128,7.3,4.33
2016,Will Fuller,WR,Notre Dame,Jun-00,186,4.32,33.5,10,126,6.93,4.27
2016,D.J. Foster,WR,Arizona State,10-May,193,4.57,35.5,14,117,6.75,4.07
2016,Josh Ferguson,RB,Illinois,9-May,198,4.48,34.5,21,120,,
2016,Ka'Imi Fairbairn,K,UCLA,11-May,183,4.96,,,,,
2016,Tyler Ervin,RB,San Jose State,10-May,192,4.41,39,17,130,,
2016,Ezekiel Elliott,RB,Ohio State,Jun-00,225,4.47,32.5,,118,,
2016,Thomas Duarte,TE,UCLA,2-Jun,231,4.72,33.5,12,118,6.97,4.24
2016,Jeff Driskel,QB,Louisiana Tech,4-Jun,234,4.56,32,,122,7.19,4.25
2016,Kenyan Drake,RB,Alabama,1-Jun,210,4.45,34.5,10,123,7.04,4.21
2016,Brandon Doughty,QB,Western Kentucky,3-Jun,213,5.22,27,,103,7.49,4.52
2016,Josh Doctson,WR,Texas Christian,2-Jun,202,4.5,41,14,131,6.84,4.08
2016,Kenneth Dixon,RB,Louisiana Tech,10-May,215,4.56,37.5,18,121,6.97,4.28
2016,Trevor Davis,WR,California,1-Jun,188,4.42,38.5,11,124,6.6,4.22
2016,Brad Craddock,K,Maryland,Jun-00,186,4.88,,,,,
2016,Cody Core,WR,Mississippi,3-Jun,205,4.47,31.5,14,119,,
2016,Pharoh Cooper,WR,South Carolina,11-May,203,4.52,31,15,115,,
2016,Connor Cook,QB,Michigan State,4-Jun,217,4.79,33,,113,7.21,4.28
2016,Alex Collins,RB,Arkansas,10-May,217,4.59,28.5,18,113,,
2016,Corey Coleman,WR,Baylor,11-May,194,4.42,40.5,17,129,,
2016,Tra Carson,RB,Texas A&M,11-May,227,4.63,,19,,,
2016,Leonte Carroo,WR,Rutgers,Jun-00,211,4.5,35.5,14,120,,
2016,Devon Cajuste,WR,Stanford,4-Jun,234,4.62,36,12,123,6.49,4.2
2016,Aaron Burbridge,WR,Michigan State,Jun-00,206,4.56,30.5,20,115,7.22,4.31
